date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:23	11773/11773	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dac6580094407d%22	https://www.boleteriavip.com.ar/js/bolvip-bundle-x263.min.js	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/js/bolvip-bundle-x263.min.js	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:44:24	14868/14868	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf594%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-200.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-200.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:25	15176/15176	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf4c8%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-200italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-200italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:26	15428/15428	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf3c4%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-300italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-300italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:27	15396/15396	---M--	200	added ('OK')	font/woff2	etag:%221d9f07a041f9ba4%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:28	15568/15568	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf350%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-500italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-500italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:29	15624/15624	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf288%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-600italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-600italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:30	15716/15716	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf2e4%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-700italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-700italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:31	15924/15924	---M--	200	added ('OK')	font/woff2	etag:%221dad9427aabf1b4%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-800italic.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-800italic.woff2	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
09:44:32	2971/2971	---M--	200	added ('OK')	image/png	etag:%221dad9427aabc41b%22	https://www.boleteriavip.com.ar/images/forms/no_photo.png	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/images/forms/no_photo.png	(from https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css)
